id,Country,adm1-code,var1_usersper100,var2_secureaccess,var3_politicalrights,var4_civilib,var5_politcalfiltr
159,Slovenia,,71.59,648,1,1,
160,Solomon Islands,,9,3,3,3,
161,Somalia,,1.63,0,7,7,
162,South Africa,,49,116,2,2,
163,South Korea,,84.33,2178,2,2,0
164,South Sudan,,15.9,0,7,6,
165,Spain,,76.19,317,1,1,
166,Sri Lanka,,25.8,11,4,4,0
167,Sudan,,24.64,0,7,7,2
168,Suriname,,40.08,56,2,3,
169,Swaziland,,27.1,10,7,5,
170,Sweden,,92.52,1602,1,1,0
171,Switzerland,,87,2820,1,1,
172,Syria,,28.09,0,7,7,4
173,Taiwan,,,,1,2,
174,Tajikistan,,17.49,1,7,6,2
175,Tanzania,,4.86,2,3,4,
176,Thailand,,34.89,32,6,5,2
177,Togo,,5.7,4,4,4,
178,Tonga,,40,28,2,2,
179,Trinidad & Tobago,,65.1,111,2,2,
180,Tunisia,,46.16,18,1,3,0
181,Turkey,,51.04,57,3,4,2
182,Turkmenistan,,12.2,0,7,7,4
183,Tuvalu,,,,1,1,
184,Uganda,,17.71,2,6,5,0
185,Ukraine,,43.4,45,3,3,0
186,United Arab Emirates,,90.4,294,6,6,3
187,United Kingdom,,91.61,1291,1,1,0
188,United States,,87.36,1548,1,1,0
189,Uruguay,,61.46,95,1,1,
190,Uzbekistan,,43.55,2,7,7,4
191,Vanuatu,,18.8,27,2,2,
192,Venezuela,,57,12,5,5,0
193,Vietnam,,48.31,12,7,5,4
194,Yemen,,22.55,1,7,6,3
195,Zambia,,17.34,3,3,4,
196,Zimbabwe,,19.89,5,5,5,0
